frase,emocao
A dor é um companheiro silencioso,tristeza
O vazio em meu peito cresce a cada dia,tristeza
Sinto que perdi o rumo da vida,tristeza
As lágrimas caem sem motivo aparente,tristeza
Meu coração está pesado de saudade,tristeza
A solidão me abraça forte e não solta,tristeza
Não encontro mais alegria em nada,tristeza
A esperança parece ter desaparecido,tristeza
Sinto um nó na garganta que não desfaz,tristeza
O mundo parece cinza e sem cor,tristeza
A melancolia se instalou em minha alma,tristeza
Estou preso em um ciclo de tristeza profunda,tristeza
Meu sorriso se tornou uma máscara vazia,tristeza
A vida parece um fardo difícil de carregar,tristeza
Lembranças dolorosas me assombram,tristeza
Tudo que amo parece estar longe,tristeza
Sinto que ninguém me entende de verdade,tristeza
A escuridão me cobre lentamente,tristeza
O passado é um lugar triste para visitar,tristeza
Não tenho forças para seguir em frente,tristeza
A vida me decepcionou mais uma vez,tristeza
Meu espírito está quebrado,tristeza
Perdi a fé no futuro,tristeza
O silêncio ecoa minha dor interna,tristeza
A tristeza é a única coisa que me define agora,tristeza
Sinto que estou me afogando na amargura,tristeza
O desespero bate à minha porta,tristeza
As noites são longas e cheias de pesar,tristeza
A alegria é um sentimento distante,tristeza
Meu coração não consegue mais sentir nada,tristeza
Estou cansado de lutar contra a dor,tristeza
A realidade é muito dura para mim,tristeza
A vida me tirou tudo que importava,tristeza
O desânimo me consome por dentro,tristeza
A solidão é uma ferida aberta,tristeza
Me sinto abandonado por todos,tristeza
O vazio me preenche por completo,tristeza
A tristeza é minha sombra constante,tristeza
A dor de existir é insuportável,tristeza
As memórias me trazem lágrimas,tristeza
Não vejo mais sentido em nada,tristeza
O peso da minha alma é imenso,tristeza
A vida perdeu o brilho,tristeza
O sofrimento é o meu único amigo,tristeza
A melancolia me prende em suas garras,tristeza
O amanhã parece sombrio e incerto,tristeza
Sinto que estou caindo sem parar,tristeza
A vida me deu as costas,tristeza
A tristeza é minha única verdade,tristeza
O silêncio me mata lentamente,tristeza
Sinto falta de quem eu era antes,tristeza
A dor é uma companhia fiel,tristeza
O medo de não ser feliz me paralisa,tristeza
A desesperança me roubou a paz,tristeza
O vazio me assusta mais que tudo,tristeza
A tristeza é um oceano sem fim,tristeza
A vida me trata com crueldade,tristeza
O sofrimento não tem fim,tristeza
Apenas sinto um grande vazio,tristeza
A dor me consome dia e noite,tristeza
A tristeza me segue onde quer que eu vá,tristeza
Sinto que não pertenço a lugar algum,tristeza
A vida é uma longa estrada de dor,tristeza
A melancolia me envolve por inteiro,tristeza
A cada passo sinto mais dor,tristeza
A escuridão é minha única paisagem,tristeza
A dor da perda é profunda,tristeza
Não há mais cores na minha vida,tristeza
A tristeza me transformou em ruínas,tristeza
A vida me machucou muito,tristeza
O sofrimento é meu destino,tristeza
O vazio é tudo que me resta,tristeza
A tristeza é um fardo pesado,tristeza
A dor me define agora,tristeza
A vida me abandonou,tristeza
A melancolia é minha única companheira,tristeza
O sofrimento é a única coisa que conheço,tristeza
A dor é minha realidade constante,tristeza
A vida é uma tragédia sem fim,tristeza
A tristeza me consome,tristeza
O vazio me devora,tristeza
A vida é um deserto de esperança,tristeza
O sofrimento é minha cruz,tristeza
A tristeza me aprisionou,tristeza
A dor é insuportável,tristeza
A vida me derrotou,tristeza
O vazio é meu futuro,tristeza
A tristeza me roubou a vontade de viver,tristeza
O sofrimento me esmaga,tristeza
A dor é meu único sentimento,tristeza
A vida é uma piada cruel,tristeza
O vazio é meu lar,tristeza
A tristeza é minha eterna companhia,tristeza
O sofrimento não me dá trégua,tristeza
A dor me acompanha sempre,tristeza
A vida é uma prisão,tristeza
A melancolia é minha sombra,tristeza
O sofrimento é meu presente e futuro,tristeza
A tristeza é minha identidade,tristeza
O vazio é o meu tudo,tristeza
A vida é uma jornada de dor,tristeza
A dor me paralisa,tristeza
O sofrimento é a única coisa real,tristeza
O sol brilha mas não consigo sentir seu calor,tristeza
As lágrimas secam mas a dor permanece,tristeza
Sorrio por fora mas por dentro estou em pedaços,tristeza
Ninguém vê o vazio que carrego no peito,tristeza
As estrelas se apagaram e deixaram só escuridão,tristeza
O tempo não cura só ensina a conviver com a dor,tristeza
Minha alma está cansada de tanto sofrer,tristeza
A solidão é minha única companhia,tristeza
Chove lá fora e dentro do meu coração,tristeza
Perdi-me no caminho e não sei voltar,tristeza
Os dias se arrastam sem sentido,tristeza
Nada mais tem o mesmo sabor,tristeza
As palavras não saem só ficam presas na garganta,tristeza
O eco da saudade dói mais que o silêncio,tristeza
Meu coração virou pó e o vento levou,tristeza
A esperança fugiu e não deixou rastro,tristeza
Até o ar que respiro pesa,tristeza
As lembranças são facas que não param de cortar,tristeza
O ontem machuca e o amanhã assusta,tristeza
Meus olhos já não brilham como antes,tristeza
O amor foi embora e levou metade de mim,tristeza
O relógio gira mas minha vida está parada,tristeza
Sinto frio mesmo no calor do verão,tristeza
Ninguém entende o peso que carrego,tristeza
Minha voz some no vazio,tristeza
A noite é longa e o sono não vem,tristeza
O espelho reflete alguém que não reconheço,tristeza
As flores murcham e eu junto com elas,tristeza
O abraço mais apertado não tira a dor,tristeza
O mundo gira feliz e eu fico parado,tristeza
A música que antes alegrava agora machuca,tristeza
O telefone não toca e ninguém me procura,tristeza
As promessas viraram pó,tristeza
O coração não obedece à razão,tristeza
A cama é grande demais para quem dorme só,tristeza
O café esfriou e eu também,tristeza
A estrada é longa e eu estou sem forças,tristeza
O riso dos outros dói,tristeza
O passado assombra e o futuro amedronta,tristeza
O vento leva meus sonhos embora,tristeza
A chuva lava as ruas mas não minha alma,tristeza
O silêncio grita mais alto,tristeza
O abraço que não recebi ficou faltando,tristeza
A noite não tem fim,tristeza
O coração partido não para de sangrar,tristeza
A felicidade é só uma lembrança distante,tristeza
O tempo passa mas a dor não vai embora,tristeza
O olhar vazio esconde um mar de tristeza,tristeza
A casa está cheia mas me sinto sozinho,tristeza
O adeus foi para sempre,tristeza
O sol se põe e leva minha alegria,tristeza
A vida perdeu as cores,tristeza
O coração pesa mais que o mundo,tristeza
A espera acabou mas você não voltou,tristeza
O vazio é maior que eu,tristeza
A dor não tem hora para chegar,tristeza
O ontem dói e o hoje também,tristeza
A noite é minha única amiga,tristeza
O sorriso é só uma máscara,tristeza
O amor virou cinzas,tristeza
A primavera chegou mas não para mim,tristeza
O coração não mente quando chora,tristeza
A estrada é escura e eu estou perdido,tristeza
O mar está calmo mas minha alma não,tristeza
A saudade é um peso que não dá para carregar,tristeza
O tempo não apaga só esconde,tristeza
A lua brilha mas não para mim,tristeza
O coração despedaçado não se cola,tristeza
A vida seguiu e eu fiquei,tristeza
O adeus foi sem volta,tristeza
A dor é minha sombra,tristeza
O riso é raro e a tristeza constante,tristeza
A noite não acaba,tristeza
O coração não para de doer,tristeza
A esperança morreu,tristeza
O vento uiva e eu junto,tristeza
A solidão é minha rainha,tristeza
O ontem pesa e o hoje sufoca,tristeza
A vida perdeu o sentido,tristeza
O amor foi só ilusão,tristeza
A chuva cai e eu junto,tristeza
O coração não engana,tristeza
A noite é longa demais,tristeza
O silêncio é meu pior inimigo,tristeza
A dor não tem remédio,tristeza
O tempo não traz alívio,tristeza
A saudade é um fogo que não se apaga,tristeza
O sol nasce mas não para mim,tristeza
A vida é um filme triste,tristeza
O coração não sabe mentir,tristeza
A noite é fria e eu também,tristeza
O amor acabou e eu também,tristeza
A esperança se foi,tristeza
O vento leva meu choro,tristeza
A solidão é minha companheira,tristeza
O passado não volta,tristeza
A vida dói,tristeza
O coração não se engana,tristeza
A noite não tem fim,tristeza
O silêncio é meu único amigo,tristeza
A dor não tem nome,tristeza
O tempo não cura,tristeza
A saudade é um peso,tristeza
O sol se esconde,tristeza
A vida é vazia,tristeza
O coração está partido,tristeza
A noite é escura,tristeza
O amor morreu,tristeza
A esperança fugiu,tristeza
O vento geme,tristeza
A solidão consome,tristeza
O passado machuca,tristeza
A vida é triste,tristeza
O coração sangra,tristeza
A noite é eterna,tristeza
O silêncio dói,tristeza
A dor não passa,tristeza
O tempo não ajuda,tristeza
A saudade aperta,tristeza
O sol não aquece,tristeza
A vida é dura,tristeza
O coração chora,tristeza
A noite é fria,tristeza
O amor acabou,tristeza
A esperança sumiu,tristeza
O vento chora,tristeza
A solidão dói,tristeza
O passado pesa,tristeza
A vida é cinza,tristeza
O coração desiste,tristeza
A noite é triste,tristeza
O silêncio machuca,tristeza
A dor é forte,tristeza
O tempo não volta,tristeza
A saudade queima,tristeza
O sol some,tristeza
A vida é amarga,tristeza
O coração para,tristeza
A noite é longa,tristeza
O amor some,tristeza
A esperança some,tristeza
O vento some,tristeza
A solidão mata,tristeza
O passado assusta,tristeza
A vida é vã,tristeza
O coração despedaça,tristeza
A noite é escura,tristeza
O silêncio é pesado,tristeza
A dor é eterna,tristeza
O tempo é lento,tristeza
A dor é um oceano sem margens,tristeza
O silêncio me consome por dentro,tristeza
Meu coração está em pedaços,tristeza
A solidão é minha única amiga,tristeza
Não consigo encontrar a paz,tristeza
A vida parece um sonho ruim,tristeza
As lágrimas são meu idioma,tristeza
A esperança me abandonou,tristeza
Sinto um vazio que não se preenche,tristeza
A escuridão me abraça,tristeza
O passado é um fardo pesado,tristeza
A alegria é uma lembrança distante,tristeza
Não tenho mais vontade de lutar,tristeza
A tristeza é minha sombra,tristeza
Meu sorriso é apenas um disfarce,tristeza
A vida me decepcionou mais uma vez,tristeza
Estou perdido em minha própria mente,tristeza
O futuro parece sombrio,tristeza
A dor é constante e insuportável,tristeza
A melancolia me domina,tristeza
Sinto que ninguém se importa,tristeza
O peso da existência é grande demais,tristeza
A vida perdeu o sentido,tristeza
A dor de existir é real,tristeza
A solidão me esmaga,tristeza
Não há luz no fim do túnel,tristeza
A vida me quebrou,tristeza
O desespero me acompanha,tristeza
A tristeza me consome lentamente,tristeza
Sinto que estou me afogando,tristeza
A felicidade é uma ilusão,tristeza
Meu coração sangra por dentro,tristeza
A vida é cruel e implacável,tristeza
A dor me define agora,tristeza
O vazio ecoa em minha alma,tristeza
A esperança é uma mentira,tristeza
Estou cansado de sofrer,tristeza
A vida me roubou a alegria,tristeza
A tristeza é meu destino,tristeza
Não vejo mais cores no mundo,tristeza
A dor é minha única companhia,tristeza
O silêncio é ensurdecedor,tristeza
A vida é uma tragédia sem fim,tristeza
A tristeza me aprisionou,tristeza
Sinto que estou me perdendo,tristeza
A dor me sufoca,tristeza
O vazio é tudo que me resta,tristeza
A vida me deu as costas,tristeza
A melancolia me envolve,tristeza
O sofrimento é meu lar,tristeza
A dor da alma é a pior de todas,tristeza
A vida é um deserto de esperança,tristeza
A tristeza me transformou em ruínas,tristeza
O peso da tristeza é insuportável,tristeza
Não há escape para minha dor,tristeza
A vida me traiu,tristeza
A solidão me devora,tristeza
O vazio me preenche por completo,tristeza
A tristeza é minha única verdade,tristeza
A dor é a minha realidade,tristeza
A vida me abandonou,tristeza
O sofrimento é a minha cruz,tristeza
A tristeza me paralisa,tristeza
A vida é uma jornada de dor,tristeza
A dor me acompanha sempre,tristeza
O vazio me consome,tristeza
A tristeza é um fardo pesado,tristeza
A vida me derrota a cada dia,tristeza
O sofrimento não tem fim,tristeza
A dor é meu único sentimento,tristeza
A vida é uma prisão sem muros,tristeza
A melancolia é minha sombra,tristeza
A tristeza me roubou a vontade de viver,tristeza
A vida me esmagou,tristeza
A dor é insuportável,tristeza
O vazio é meu futuro,tristeza
A tristeza é minha identidade,tristeza
A vida é uma piada cruel,tristeza
O sofrimento é minha única certeza,tristeza
A dor me define,tristeza
A vida me destruiu,tristeza
O vazio é meu tudo,tristeza
A tristeza me consome por dentro,tristeza
O sofrimento é a única coisa que conheço,tristeza
A dor é meu companheiro fiel,tristeza
A vida é uma dor constante,tristeza
A tristeza é eterna,tristeza
O vazio é o meu lar,tristeza
A melancolia é meu destino,tristeza
A dor me segue aonde vou,tristeza
A vida é apenas sofrimento,tristeza
A tristeza é meu presente,tristeza
O vazio é a minha realidade,tristeza
A dor me aprisionou,tristeza
A vida me quebra em pedaços,tristeza
O sofrimento me esmaga,tristeza
A tristeza é um oceano de lágrimas,tristeza
A dor me mata lentamente,tristeza
A vida é uma batalha perdida,tristeza
A melancolia me cobre,tristeza
A tristeza é minha companhia,tristeza
A dor é minha história,tristeza
O vazio é o meu fim,tristeza
A vida é uma ilusão triste,tristeza
O sofrimento é meu legado,tristeza
A tristeza me corrói,tristeza
A dor me assombra,tristeza
A vida é um pesadelo,tristeza
A melancolia é minha verdade,tristeza
O vazio é minha única certeza,tristeza
A tristeza é minha prisão,tristeza
A dor me prende,tristeza
A vida é um tormento,tristeza
O sofrimento é minha vida,tristeza
A tristeza é tudo que sinto,tristeza
A dor me queima,tristeza
O vazio é o meu eco,tristeza
A vida é uma jornada sem sentido,tristeza
A melancolia é meu refúgio,tristeza
A dor me consome,tristeza
A tristeza é minha força,tristeza
A vida é apenas dor,tristeza
O vazio é meu horizonte,tristeza
A dor é o meu amor,tristeza
A tristeza é meu fardo,tristeza
A vida é um labirinto de dor,tristeza
O sofrimento me ensina,tristeza
A dor é a minha essência,tristeza
A tristeza é minha alma,tristeza
A vida é um ciclo de dor,tristeza
O vazio é meu tudo e meu nada,tristeza
A dor é minha única alegria,tristeza
A tristeza é minha única amiga,tristeza
A vida é um caminho solitário,tristeza
O sofrimento é minha rotina,tristeza
A dor é meu oxigênio,tristeza
A tristeza é minha única escolha,tristeza
A vida é um rio de lágrimas,tristeza
O vazio me habita,tristeza
A dor é o meu destino,tristeza
A tristeza é minha casa,tristeza
A vida é uma sombra,tristeza
O sofrimento é minha paz,tristeza
A dor é minha fé,tristeza
A tristeza é meu silêncio,tristeza
A vida é um suspiro de dor,tristeza
O vazio me faz companhia,tristeza
A dor é meu futuro,tristeza
A tristeza é meu presente,tristeza
A vida é um eco de dor,tristeza
O sofrimento é meu guia,tristeza
A dor é minha razão de ser,tristeza
A tristeza é meu amor,tristeza
A vida é uma mentira,tristeza
O vazio me esvazia,tristeza
A dor me preenche,tristeza
Me sinto sozinho,tristeza
Nada faz sentido ultimamente,tristeza
Hoje o dia parece mais cinza,tristeza
Sinto que estou desaparecendo,tristeza
Perdi a vontade de tentar,tristeza
Tudo parece tão distante,tristeza
As memórias me machucam,tristeza
Sinto um vazio constante,tristeza
O mundo parece tão frio,tristeza
Não consigo parar de chorar,tristeza
As noites são longas demais,tristeza
Ninguém entende o que sinto,tristeza
Estou preso no meu próprio pensamento,tristeza
A solidão me consome devagar,tristeza
Me sinto esquecido por todos,tristeza
Queria que tudo fosse diferente,tristeza
Minhas forças estão acabando,tristeza
A saudade dói o tempo todo,tristeza
Perdi meu rumo na vida,tristeza
Nada me traz alegria mais,tristeza
Estou cansado de fingir que está tudo bem,tristeza
As lágrimas vêm sem motivo,tristeza
Me sinto inútil,tristeza
Estou desistindo aos poucos,tristeza
Minha alma está em pedaços,tristeza
Tudo me faz lembrar do que perdi,tristeza
As dores doem mais à noite,tristeza
Meu coração está quebrado,tristeza
Não consigo mais sonhar,tristeza
Sinto falta de quem eu era,tristeza
A dor não passa,tristeza
Queria sumir por um tempo,tristeza
Ninguém se importa de verdade,tristeza
Estou perdendo a esperança,tristeza
Não tenho mais forças para sorrir,tristeza
Tudo me sufoca,tristeza
Me sinto um peso para todos,tristeza
As palavras doem mais que silêncio,tristeza
Estou cercado de gente mas me sinto só,tristeza
As lembranças me atormentam,tristeza
Queria voltar no tempo,tristeza
Não vejo saída,tristeza
Minha cabeça está cheia demais,tristeza
Ninguém nota meu sofrimento,tristeza
O tempo não cura como dizem,tristeza
Sinto que falhei em tudo,tristeza
A vida parece um fardo,tristeza
Tudo é escuro ao meu redor,tristeza
Queria desaparecer sem deixar rastros,tristeza
As pessoas só me decepcionam,tristeza
O silêncio grita dentro de mim,tristeza
Sinto que não pertenço a lugar nenhum,tristeza
Não aguento mais sorrir por obrigação,tristeza
A tristeza me segue onde vou,tristeza
A dor virou parte de mim,tristeza
Não vejo cor nas coisas,tristeza
Sinto falta de mim mesmo,tristeza
Meu peito aperta o tempo inteiro,tristeza
A angústia não me deixa respirar,tristeza
Cada dia parece mais difícil,tristeza
Estou me perdendo devagar,tristeza
Tudo em mim está quebrado,tristeza
Ninguém percebe o quanto sofro,tristeza
Estou lutando mas não estou vencendo,tristeza
Os dias passam mas nada melhora,tristeza
Não consigo enxergar um futuro,tristeza
Sinto que tudo está ruindo,tristeza
Meu coração está cansado,tristeza
A vida tem sido pesada demais,tristeza
Tudo em mim dói,tristeza
A tristeza virou rotina,tristeza
Sinto como se estivesse afundando,tristeza
O choro vem sem avisar,tristeza
